Id,Label,Degree,Betweenness,Expression
230073,Ddx58,252,199438.34,0.0242794040976463
21349,Tal1,251,233050.45,-0.0772730692237027
22029,Traf1,30,20935.68,0.0568557444524627
17268,Meis1,22,19165.8,-0.0409430925049405
18627,Per2,22,15500.13,0.112895120903063
18854,Pml,19,19853.77,0.0248142358876094
13043,Cttn,17,18835.03,0.0758884853230786
11796,Birc3,16,17302.2,-0.0179787308725376
15416,Hoxb8,15,14434.82,0.185783054885071
81703,Jdp2,14,8778.04,-0.0395925210032457
56484,Foxo3,13,39929.71,0
15900,Irf8,13,11410.11,0
16177,Il1r1,13,9339.82,-0.11151944313099
16363,Irf2,13,8436.71,-0.0118468345782959
12953,Cry2,13,3532.89,0.0527298189792705
17260,Mef2c,12,16579.81,-0.0300687409674604
54123,Irf7,12,12725.29,0.079882600395683
17755,Mtap1b,12,9034.4,-0.0859702625338429
208117,Aph1b,12,8815.28,-0.0358763716552123
16416,Itgb3,11,7259.31,-0.0452399843283591
16847,Lepr,10,9468,0.104728257676214
22190,Ubc,9,36985.87,0
67300,Cltc,9,9471.27,-0.0133825230981052
14972,H2-K1,9,6213.89,0.0372412581992087
12010,B2m,7,7789.09,0.0317299633147638
22627,Ywhae,6,21883.81,0
58234,Shank3,6,5055.21,-0.0760185973854043
15982,Ifrd1,6,3684.07,-0.0229564161477075
330914,Arhgap32,6,3664.89,-0.0521528826578086
22259,Nr1h3,6,3638.51,0.0551921843775213
15423,Hoxc4,6,2743.03,0.0958822228676501
17258,Mef2a,6,2596.5,-0.0131667424924074
20848,Stat3,5,26172.43,0
108100,Baiap2,5,25757.7,0.0130840624360741
20371,Foxp3,5,11582.54,0
18514,Pbx1,5,7674.63,0
664883,Nova1,5,5738.09,0
19684,Rdx,5,3458,-0.0178406305060249
20128,Trim30a,5,3458,0.0221644541075624
15415,Hoxb7,5,3458,0.0684373560932619
21676,Tead1,5,3458,0.0791150309305332
110651,Rps6ka3,5,3250.95,-0.0213539658472886
15114,Hap1,5,3108.72,0.0541296118754679
68041,Mid1ip1,5,2662.64,0.020702928536689
58185,Rsad2,5,2661.97,0.0982687401850961
11770,Fabp4,5,2337.87,-0.0363638130278224
18516,Pbx3,5,1851.33,0
16362,Irf1,5,1552.3,0
20375,Sfpi1,4,15985.98,0
24110,Usp18,4,7756.76,0.0599038609949397
71586,Ifih1,4,7025.38,0.0239495773104645
20612,Siglec1,4,6885,0.072522117053538
12606,Cebpa,4,5364.21,0
20181,Rxra,4,4842.33,0
17874,Myd88,4,4445.2,0
26413,Mapk1,4,2612.59,0
112407,Egln3,4,2595,0.0613899242461639
19725,Rfx2,4,2595,0.0460332965193811
14257,Flt4,4,2595,0.0928888840497541
14964,H2-D1,4,931.51,0.0268582407504853
21423,Tcf3,3,27880.03,0
15182,Hdac2,3,7690.53,0
14810,Grin1,3,7535.49,0
22030,Traf2,3,7156.44,0
81004,Tbl1xr1,3,6947.53,-0.0244337680454753
433759,Hdac1,3,4499.06,0
54131,Irf3,3,4471.94,0
17984,Ndn,3,4304.89,0
13018,Ctcf,3,4221.99,0
260305,Nphp4,3,2069.78,0
230257,Rod1,3,2045.1,-0.0138974703484536
56524,Mpp6,3,1731,-0.0242946925433076
72179,Fbxl2,3,1731,0.0293817108860628
14595,B4galt1,3,1731,-0.0140940530237055
15957,Ifit1,3,1731,0.0825301613641777
208727,Hdac4,3,1535.99,0
23962,Oasl2,3,1210.25,0.059569710932136
93759,Sirt1,3,376.5,0
13367,Diap1,2,26221.87,0
17347,Mknk2,2,10937.73,0
16765,Stmn1,2,10937.73,0
56190,Rbm38,2,10937.73,0
68703,Rere,2,10937.73,0
75646,Rai14,2,10683.07,0
20850,Stat5a,2,10260,0
109032,Sp110,2,10150.19,0.041648344154156
26360,Angptl2,2,5013.27,0.105440238742522
20466,Sin3a,2,4397.26,0
214162,Mll1,2,4397.26,0
26409,Map3k7,2,4310,0
54383,Phc2,2,4310,0
13346,Des,2,4310,0
20737,Spn,2,4310,0
13385,Dlg4,2,3778.93,0
18999,Pou5f1,2,3452,0
20610,Sumo3,2,3346.4,0
224997,Dlgap1,2,3282.84,0
12445,Ccnd3,2,2592,0
104318,Csnk1d,2,2144.89,0
13528,Dtnb,2,1882.83,0
83945,Dnaja3,2,1882.83,0
269378,Gm4737,2,1882.83,0
21353,Tank,2,1882.83,0
17318,Mid1,2,1867.43,0
18405,Orm1,2,1730,0.0801565296767915
18570,Pdcd6,2,1730,0
18033,Nfkb1,2,1730,0
19247,Ptpn11,2,1730,0
107476,Acaca,2,1647.2,0
50789,Fbxl3,2,1321.34,0
16647,Kpna2,2,1321.34,0
20779,Src,2,1264.65,0
242341,Atp6v0d2,2,954.01,0
12715,Ckm,2,954.01,0
21898,Tlr4,2,866,0
19697,Rela,2,866,0
13483,Dpp6,2,866,0.0705516646255584
12364,Casp12,2,866,0.107845096769264
15959,Ifit3,2,866,0.117359743806819
19106,Eif2ak2,2,866,0.0227558855074565
109620,Dsp,2,866,-0.124482616032385
16002,Igf2,2,866,0.0376863882434109
12608,Cebpb,2,866,0
63913,Fam129a,2,866,-0.0368443894228328
22631,Ywhaz,2,860.99,0
21939,Cd40,2,803.98,0
12322,Camk2a,2,731.96,0
22218,Sumo1,2,686.73,0
69920,Polr2i,2,583.28,0
15239,Hgs,2,565.77,0
228607,Mavs,2,387.81,0
80720,Pbx4,2,346.37,0
17858,Mx2,2,344.25,0.0501460475333277
12491,Cd36,2,287.07,-0.0225376568086992
16179,Irak1,2,168.24,0
18986,Pou2f1,2,79.17,0
16196,Il7,2,40.04,0.0572330610889751
19016,Pparg,2,4.78,0
12753,Clock,2,0,0
53376,Usp2,2,0,0
79362,Bhlhe41,2,0,0
14461,Gata2,2,0,0
16825,Ldb1,2,0,0
22034,Traf6,2,0,0
12952,Cry1,2,0,0
18626,Per1,2,0,0
18628,Per3,2,0,0
11865,Arntl,2,0,0
67731,Fbxo32,1,0,0
11797,Birc2,1,0,0
18952,Sept4,1,0,0
17000,Ltbr,1,0,0
16572,Kif5a,1,0,0
98376,Gorab,1,0,0
14268,Fn1,1,0,0
21894,Tln1,1,0,0
20852,Stat6,1,0,0
16402,Itga5,1,0,0
18751,Prkcb,1,0,0
18783,Pla2g4a,1,0,0
54609,Ubqln2,1,0,0
20963,Syk,1,0,0
12234,Btrc,1,0,0
83602,Gtf2a1,1,0,0
217166,Nr1d1,1,0,0
71514,Sfpq,1,0,0
21354,Tap1,1,0,0
15018,H2-Q7,1,0,0
12479,Cd1d1,1,0,0
14281,Fos,1,0,0
21418,Tfap2a,1,0,0
18733,Lilrb3,1,0,0
22278,Usf1,1,0,0
13654,Egr2,1,0,0
57441,Gmnn,1,0,0
20683,Sp1,1,0,0
329828,AI464131,1,0,0
65247,Asb1,1,0,0
208076,Pknox2,1,0,0
71828,Gtf2a1l,1,0,0
16391,Irf9,1,0,0
14050,Eya3,1,0,0
22693,Zfp30,1,0,0
14605,Tsc22d3,1,0,0
11307,Abcg1,1,0,0.0681194408881364
53314,Batf,1,0,0
16364,Irf4,1,0,0
17132,Maf,1,0,0
17966,Nbr1,1,0,0
320299,Iqcb1,1,0,0
53319,Nxf1,1,0,0
66734,Map1lc3a,1,0,0
18472,Pafah1b1,1,0,0
18412,Sqstm1,1,0,0
68652,Tab2,1,0,0
66724,Tab3,1,0,0
11911,Atf4,1,0,0
214854,Neurl3,1,0,0
67046,Tbc1d7,1,0,0
15242,Hhex,1,0,0
76952,Nt5c2,1,0,0
68036,Zfp706,1,0,0
14247,Fli1,1,0,0
54353,Skap2,1,0,0
15191,Hdgf,1,0,0
237313,Il20ra,1,0,0
56040,Rplp1,1,0,0
67393,Cxxc5,1,0,0
68750,Rreb1,1,0,0
20354,Sema4d,1,0,0
64011,Nrgn,1,0,0
81799,C1qtnf3,1,0,0
22295,Cdh23,1,0,0
252973,Grhl2,1,0,0
215445,Rab11fip3,1,0,0
328795,Ubash3a,1,0,0
68255,Tmem86b,1,0,0
70257,2010107E04Rik,1,0,0
20442,St3gal1,1,0,0
16598,Klf2,1,0,0
58248,1700123O20Rik,1,0,0
23871,Ets1,1,0,0
50934,Slc7a8,1,0,0
